NAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID
Marina Middle School,3500 Fillmore Street,San Francisco,CA,94123-2103,228102
Garfield Elementary School,420 Filbert Street,San Francisco,CA,94133-3002,1655392
Yick Wo Elementary School,2245 Jones Street,San Francisco,CA,94133-2207,1657173
John Yehall Chin Elementary School,350 Broadway Street,San Francisco,CA,94133-4503,2506888
Sherman Elementary School,1651 Union Street,San Francisco,CA,94123-4506,232979
Spring Valley Elementary School,1451 Jackson Street,San Francisco,CA,94109-3115,1656897
Redding Elementary School,1421 Pine Street,San Francisco,CA,94109-4719,265340
Dr William L Cobb Elementary School,2725 California Street,San Francisco,CA,94115-2513,223182
George Peabody Elementary School,251 Sixth Avenue,San Francisco,CA,94118-2311,1657109
Paul Revere Elementary School,555 Tompkins Avenue,San Francisco,CA,94110-6144,230418
Junipero Serra Elementary School,625 Holly Park Circle,San Francisco,CA,94110-5815,226399
Glen Park Elementary School,151 Lippard Avenue,San Francisco,CA,94131-3249,224216
Gloria R Davis Middle School,1195 Hudson Street,San Francisco,CA,94124-2488,
George Washington Carver Elementary School,1360 Oakdale Avenue,San Francisco,CA,94124-2724,220200
Commodore Sloat Elementary School,50 Darien Way,San Francisco,CA,94127-1902,233294
Lowell High School,1101 Eucalyptus Drive,San Francisco,CA,94132-1401,227755
Lakeshore Alternative Elementary School,220 Middlefield Drive,San Francisco,CA,94132-1418,226817
Aptos Middle School,105 Aptos Avenue,San Francisco,CA,94127-2520,218326
Edward Robeson Taylor Elementary School,423 Burrows Street,San Francisco,CA,94134-1449,236055
Monroe Elementary School,260 Madrid Street,San Francisco,CA,94112-2055,228932
Balboa High School,1000 Cayuga Avenue,San Francisco,CA,94112,218562
Cleveland Elementary School,455 Athens Street,San Francisco,CA,94112-2801,221214
Excelsior Middle School,325 La Grande Avenue,San Francisco,CA,94112-2866,
Bret Harte Elementary School,1035 Gilman Avenue,San Francisco,CA,94124-3710,219803
Visitacion Valley Middle School,450 Raymond Avenue,San Francisco,CA,94134-2354,2506884
Jose Ortega Elementary School,400 Sargent Street,San Francisco,CA,94132-3152,230119
Sheridan Elementary School,431 Capitol Avenue,San Francisco,CA,94112-2934,232967
San Francisco International High School,1050 York Street,San Francisco,CA,94110-3420,
Cesar Chavez Elementary School,825 Shotwell Street,San Francisco,CA,94110-3212,225041
Downtown High School,693 Vermont Street,San Francisco,CA,94107-2635,1657099
Clarendon Alternative Elementary School,500 Clarendon Avenue,San Francisco,CA,94131-1113,1657096
Starr King Elementary School,1215 Carolina Street,San Francisco,CA,94107-3322,235397
Buena Vista Horace Mann Elementary School,3351 23rd Street,San Francisco,CA,94110-3031,1655416
Bryant Elementary School,2641 25th Street,San Francisco,CA,94110-3514,
A P Giannini Middle School,3151 Ortega Street,San Francisco,CA,94122-4051,217933
James Lick Middle School,1220 Noe Street,San Francisco,CA,94114-3714,226128
Leonard Flynn Elementary School,3125 Cesar Chavez Street,San Francisco,CA,94110-4722,226983
West Portal Elementary School,5 Lenox Way,San Francisco,CA,94127-1111,237513
Mission Education Center,1670 Noe Street,San Francisco,CA,94131-2357,
Ulloa Elementary School,2650 42nd Avenue,San Francisco,CA,94116-2714,236768
Daniel Webster Elementary School,465 Missouri Street,San Francisco,CA,94107-2826,237392
George R Moscone Elementary School,2576 Harrison Street,San Francisco,CA,94110-2010,1657110
Alice Fong Yu Elementary School,1541 12th Avenue,San Francisco,CA,94122-3503,221419
Francis Scott Key Elementary School,1530 43rd Avenue,San Francisco,CA,94122-2925,223801
Willie L Brown Jr Middle School,2055 Silver Avenue,San Francisco,CA,94124-2032,2506904
Thurgood Marshall Academic High School,45 Conkling Street,San Francisco,CA,94124,2352669
Creative Arts Charter School,1601 Turk Street,San Francisco,CA,94115-,1655645
Alvarado Elementary School,625 Douglas Street,San Francisco,CA,94114-3140,218202
Chinese Education Center Elementary School,657 Merchant Street,San Francisco,CA,94111-2505,1657093
Lawton Alternative Elementary School,1570 31st Avenue,San Francisco,CA,94122-3104,226971
Francisco Middle School,2190 Powell Street,San Francisco,CA,94133-1949,223802
George Washington High School,600 32nd Avenue,San Francisco,CA,94121,237277
Jean Parker Elementary School,840 Broadway Street,San Francisco,CA,94133-1411,238039
Longfellow Elementary School,755 Morse Street,San Francisco,CA,94112-4223,227625
Miraloma Elementary School,175 Omar Way,San Francisco,CA,94127-1701,228818
Dr Martin Luther King Junior Academic Middle School,350 Girard Street,San Francisco,CA,94134-1469,230960
Robert Louis Stevenson Elementary School,2051 34th Avenue,San Francisco,CA,94116-1109,231675
Roosevelt Middle School,460 Arguello Boulevard,San Francisco,CA,94118-2505,
Visitacion Valley Elementary School,55 Schwerin Street,San Francisco,CA,94134-2742,1656924
Gateway High School,1430 Scott Street,San Francisco,CA,94115,
Charles Drew College Preparatory Academy,50 Pomona Avenue,San Francisco,CA,94124-2344,218768
Dianne Feinstein Elementary School,2550 25th Avenue,San Francisco,CA,94116-,230366
San Francisco County Court Woodside Learning Center,375 Woodside Avenue,San Francisco,CA,94127-5207,
Edison Charter Academy,3531 22nd Street,San Francisco,CA,94114-3405,222984
Impact Academy of Arts and Technology,185 Berry Street Suite 220,San Francisco,CA,94107,
Ruth Asawa School of the Arts,555 Portola Drive,San Francisco,CA,94131-,1655370
Gateway Middle School,1512 Golden Gate Avenue,San Francisco,CA,95476-3703,
Fairmount Elementary School,65 Chenery Street,San Francisco,CA,94131-2706,223339
Lafayette Elementary School,4545 Anza Street,San Francisco,CA,94121-2621,226752
Frank McCoppin Elementary School,651 Sixth Avenue,San Francisco,CA,94118-3804,223806
Argonne Elementary School,680 18th Avenue,San Francisco,CA,94121-3818,218364
John Muir Elementary School,380 Webster Street,San Francisco,CA,94117-3512,1657119
McKinley Elementary School,1025 14th Street,San Francisco,CA,94114-1221,228405
Everett Middle School,450 Church Street,San Francisco,CA,94114-1721,1655375
Sanchez Elementary School,325 Sanchez Street,San Francisco,CA,94114-1615,232486
Grattan Elementary School,165 Grattan Street,San Francisco,CA,94117-4208,224483
Jefferson Elementary School,1725 Irving Street,San Francisco,CA,94122-1893,226179
Sutro Elementary School,235 12th Avenue,San Francisco,CA,94118-2103,235841
